city,latitude,temperature,humidity,cloudiness,wind_speed
Olinda,-37.84,299.82,44,65,9.3
Wajima,37.4,279.24,81,100,3.0
Hilo,19.71,300.15,61,90,5.1
Nemuro,43.32,270.38,65,92,7.26
Sampit,-2.54,297.41,95,100,0.61
Hermanus,-34.42,293.15,86,74,0.45
Balclutha,-46.28,284.82,65,67,3.13
Clyde River,70.47,242.15,74,40,2.1
Faanui,-16.48,300.69,77,1,9.18
Addis Ababa,8.96,290.15,42,40,5.1
South Carolina,34.1,288.15,32,1,4.1
Tokur,53.13,252.61,96,93,0.93
Blackwater,-23.58,294.65,87,6,4.0
Muros,42.77,285.37,75,20,2.1
Ushuaia,-54.81,279.15,87,75,18.0
Tazovsky,67.47,261.96,92,100,11.28
Wamba,2.14,294.75,81,74,1.08
Padang,-0.92,293.77,98,100,1.05
Cumberland,39.31,275.93,40,1,2.6
Hobart,-42.88,294.82,56,100,6.7
Tuktoyaktuk,69.44,244.15,75,90,8.7
Butte,46.01,272.04,58,90,4.1
Smithers,54.78,258.15,84,75,1.5
Kamennomostskiy,44.21,267.79,97,100,1.02
Mogadouro,41.42,279.97,86,55,4.91
Kaeo,-35.1,284.26,100,20,4.18
Castro,-42.48,285.15,76,75,3.1
Ancud,-41.87,285.15,76,75,3.1
Grand Forks,47.91,265.15,78,90,2.6
Puerto Ayora,-0.74,299.15,88,75,7.2
Potrerillos,15.09,300.37,78,75,2.1
Flinders,-34.58,294.82,100,90,1.07
Zharkent,44.17,260.89,94,0,0.64
Hays,38.88,284.82,48,1,6.2
Iqaluit,63.75,247.59,62,75,5.7
Dikson,73.51,255.87,93,100,9.67
Scottsbluff,41.87,277.04,47,1,8.2
Busselton,-33.64,286.48,44,0,6.04
Kisangani,0.52,297.48,78,50,1.62
Kargasok,59.06,254.52,95,0,4.12
Gore,-46.19,284.26,78,100,2.24
Piui,-20.63,300.58,68,89,1.9
Provideniya,64.42,249.08,93,99,6.84
Jamestown,-33.21,295.31,64,86,7.64
Louga,15.62,301.15,13,95,4.1
Bambous Virieux,-20.34,298.15,78,40,3.1
Waitati,-45.75,283.37,66,84,3.44
Sur,22.57,293.07,54,0,2.58
Salmas,38.23,264.75,96,100,0.46
Qaanaaq,77.48,244.22,89,67,4.09
Mersa Matruh,31.35,285.15,62,40,6.7
Ahipara,-35.17,284.26,100,17,4.92
Kapaa,22.08,297.15,88,75,10.3
Lismore,-28.95,295.15,83,40,1.01
Cidreira,-30.17,298.31,89,0,6.28
Durango,23.99,292.59,44,40,1.5
Cape Town,-33.93,293.71,82,75,8.7
Bismarck,46.81,266.15,92,90,10.8
Tommot,58.97,256.61,96,100,0.77
New Norfolk,-42.78,294.82,56,100,6.7
Rawson,-43.3,289.43,40,74,9.44
Rikitea,-23.12,298.02,83,89,10.47
Izamal,21.05,301.48,61,20,4.1
Tres Arroyos,-38.31,297.81,23,0,6.04
Ainaro,-8.93,292.43,82,100,1.27
Anan,33.93,282.15,49,75,6.7
Tasiilaq,65.61,259.15,50,20,2.6
Victoria,36.06,284.26,66,20,1.5
Rocha,-34.48,307.77,24,97,3.97
Wrens,33.19,291.48,31,1,6.7
